,Name,Team,Location,Opponent,Date,Result,Mins,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
90,Raul Neto,CLE,H,CHA,04/09/2023,L,22,97.8,123.9,-26.1,50.0,3.0,31.6,4.5,0.0,2.9,10.5,44.4,58.0,26.5,102.22,10.1
91,Jaden Springer,PHI,A,BKN,04/09/2023,W,2,80.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.39,0.0
92,Kyle Lowry,MIA,H,ORL,04/09/2023,W,10,110.5,94.7,15.8,33.3,3.0,60.0,0.0,7.1,4.2,20.0,0.0,0.0,10.0,95.5,5.3
93,Gorgui Dieng,SAS,A,DAL,04/09/2023,W,23,116.7,96.3,20.4,22.2,1.33,23.5,3.4,29.0,16.7,17.6,62.5,66.6,20.3,111.56,16.0
94,Gabe Vincent,MIA,H,ORL,04/09/2023,W,7,88.2,100.0,-11.8,0.0,0.0,0.0,0.0,9.1,5.0,0.0,50.0,41.0,10.5,108.25,3.1
95,Kai Jones,CHA,A,CLE,04/09/2023,W,17,143.2,125.0,18.2,0.0,0.0,0.0,0.0,13.3,7.7,0.0,0.0,0.0,2.6,104.6,0.0
96,Justin Minaya,POR,H,GSW,04/09/2023,L,24,92.3,154.9,-62.6,6.7,1.0,10.0,0.0,22.2,8.3,10.0,12.5,11.8,15.8,103.94,-2.0
97,Vlatko Cancar,DEN,H,SAC,04/09/2023,W,22,108.9,115.9,-7.0,14.3,2.0,20.0,5.0,9.1,7.1,10.0,62.5,77.7,15.7,99.12,14.5
98,Derrick White,BOS,H,ATL,04/09/2023,W,5,158.3,107.7,50.6,20.0,1.0,25.0,0.0,0.0,0.0,25.0,75.0,75.0,21.4,116.88,6.8
99,R.J. Hampton,DET,A,CHI,04/09/2023,L,3,66.7,185.7,-119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.6,0.0
100,Wesley Matthews,MIL,A,TOR,04/09/2023,L,22,106.1,131.3,-25.1,5.9,0.0,12.5,0.0,5.0,2.5,0.0,0.0,22.2,13.7,103.82,-0.9
101,Michael Carter-Williams,ORL,A,MIA,04/09/2023,L,17,103.0,133.3,-30.3,33.3,1.0,23.1,0.0,0.0,0.0,23.1,58.3,54.6,25.6,95.61,0.0
102,Kendrick Nunn,WAS,H,HOU,04/09/2023,L,22,84.0,102.0,-18.0,23.1,0.75,17.6,3.7,15.4,9.4,23.5,55.6,60.7,25.5,108.99,12.1
103,Buddy Boeheim,DET,A,CHI,04/09/2023,L,10,65.2,126.1,-60.9,16.7,0.0,25.0,0.0,9.1,5.0,0.0,0.0,0.0,12.5,108.41,-2.4
