,Name,Team,Season,GP,Win%,Mins,Points,PPM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,AST/TO,STL,BLK,EFG%,TS%,OFFRTG,DEFRTG,NETRTG,PF,Plusminus
456,Jonas Valanciunas,NOP,2022-2023,72,50.0,24.98611111111111,14.305555555555555,0.5725403001667593,5.722222222222222,10.36111111111111,55.22788203753352,0.5,1.4305555555555556,34.95145631067961,2.361111111111111,2.875,82.1256038647343,2.8472222222222223,7.25,10.097222222222221,1.7222222222222223,2.0277777777777777,0.8493150684931506,0.2638888888888889,0.5972222222222222,0.5764075067024129,0.615233908348067,112.1891666666667,113.31172222222229,-1.1225555555555928,3.0694444444444446,-27
457,Harrison Barnes,SAC,2022-2023,75,60.0,32.77333333333333,15.133333333333333,0.46175752644426366,4.586666666666667,9.72,47.18792866941015,1.64,4.386666666666667,37.38601823708207,4.32,5.1066666666666665,84.59530026109661,1.0,3.64,4.64,1.6,1.0666666666666667,1.5,0.6533333333333333,0.13333333333333333,0.556241426611797,0.632297887512256,119.93543019480524,115.79155844155842,4.143871753246813,1.3066666666666666,204
458,Russell Westbrook,LAC,2022-2023,67,47.76119402985074,28.98507462686567,15.462686567164178,0.533470648815654,5.746268656716418,13.462686567164178,42.68292682926829,1.1194029850746268,3.8955223880597014,28.735632183908045,2.8507462686567164,4.313432835820896,66.08996539792388,1.164179104477612,4.746268656716418,5.91044776119403,7.477611940298507,3.5671641791044775,2.096234309623431,1.0746268656716418,0.417910447761194,0.46840354767184034,0.5033230984492206,113.93829130211017,114.08533196088524,-0.14704065877506878,2.3134328358208953,-21
459,Isaiah Hartenstein,NYK,2022-2023,76,56.57894736842105,19.68421052631579,4.868421052631579,0.24732620320855614,2.0789473684210527,3.960526315789474,52.49169435215947,0.10526315789473684,0.4868421052631579,21.62162162162162,0.6052631578947368,0.8157894736842105,74.19354838709677,2.6710526315789473,3.8947368421052633,6.565789473684211,1.0789473684210527,0.8157894736842105,1.3225806451612903,0.6052631578947368,0.7631578947368421,0.5382059800664452,0.5635433166808822,115.1157438292195,109.2739826551034,5.841761174116101,2.6184210526315788,183
460,Paul Reed,PHI,2022-2023,62,62.903225806451616,10.274193548387096,3.7419354838709675,0.3642072213500785,1.6290322580645162,2.7419354838709675,59.411764705882355,0.0,0.06451612903225806,0.0,0.4838709677419355,0.6774193548387096,71.42857142857143,1.467741935483871,2.064516129032258,3.532258064516129,0.3387096774193548,0.6129032258064516,0.5526315789473685,0.6129032258064516,0.6935483870967742,0.5941176470588235,0.6154499151103565,110.27807153965792,111.08802488335931,-0.8099533437013946,1.8387096774193548,-32
461,Aaron Gordon,DEN,2022-2023,63,69.84126984126983,29.96825396825397,16.365079365079364,0.5460805084745762,6.301587301587301,10.968253968253968,57.452966714905926,0.9047619047619048,2.5873015873015874,34.96932515337423,2.857142857142857,4.587301587301587,62.28373702422145,2.3492063492063493,4.142857142857143,6.492063492063492,2.857142857142857,1.4603174603174602,1.9565217391304348,0.7936507936507936,0.7301587301587301,0.6157742402315485,0.6300723574850885,124.92218104817368,110.84203282159876,14.08014822657492,1.8571428571428572,551
462,Jalen Duren,DET,2022-2023,60,25.0,24.633333333333333,8.866666666666667,0.35994587280108253,3.7333333333333334,5.85,63.817663817663814,0.0,0.03333333333333333,0.0,1.4,2.2666666666666666,61.76470588235294,3.3833333333333333,5.316666666666666,8.7,1.2,1.25,0.96,0.6333333333333333,0.8833333333333333,0.6381766381766382,0.6474539966897088,108.15638082376775,116.6387575962188,-8.482376772451047,2.65,-261
463,Shaedon Sharpe,POR,2022-2023,74,41.891891891891895,21.135135135135137,8.662162162162161,0.409846547314578,3.4054054054054053,7.108108108108108,47.90874524714829,1.1216216216216217,3.081081081081081,36.40350877192983,0.7297297297297297,1.054054054054054,69.23076923076923,0.7702702702702703,1.945945945945946,2.7162162162162162,0.8378378378378378,0.8648648648648649,0.96875,0.4594594594594595,0.28378378378378377,0.5579847908745247,0.5719945745288406,111.93528662420384,117.26165605095544,-5.326369426751597,1.7297297297297298,-187
464,T.J. McConnell,IND,2022-2023,71,42.25352112676056,20.253521126760564,8.211267605633802,0.4054242002781641,3.563380281690141,6.746478873239437,52.81837160751566,0.3380281690140845,0.7746478873239436,43.63636363636363,0.7464788732394366,0.8873239436619719,84.12698412698413,0.5915492957746479,2.4507042253521125,3.0422535211267605,5.154929577464789,1.8732394366197183,2.7518796992481205,1.0985915492957747,0.14084507042253522,0.5532359081419624,0.5752683928007578,109.48173611111112,112.9664583333333,-3.4847222222221887,1.3380281690140845,-90
465,Michael Porter Jr.,DEN,2022-2023,58,68.96551724137932,29.051724137931036,17.29310344827586,0.5952522255192878,6.362068965517241,12.948275862068966,49.134487350199734,3.0172413793103448,7.155172413793103,42.168674698795186,1.5517241379310345,1.9137931034482758,81.08108108108108,0.9655172413793104,4.482758620689655,5.448275862068965,1.0517241379310345,1.103448275862069,0.953125,0.6379310344827587,0.46551724137931033,0.6078561917443409,0.627000400080016,124.36988737403676,111.63775933609955,12.732128037937215,1.9827586206896552,466
466,Kyrie Irving,DAL,2022-2023,56,55.35714285714286,36.964285714285715,26.875,0.7270531400966184,9.785714285714286,19.982142857142858,48.972296693476316,3.1607142857142856,8.375,37.73987206823028,4.142857142857143,4.607142857142857,89.92248062015504,1.0,4.107142857142857,5.107142857142857,5.464285714285714,2.1785714285714284,2.5081967213114753,1.0714285714285714,0.7857142857142857,0.5688114387846291,0.6105377600363483,117.59174710424712,112.70241312741312,4.889333976833996,2.767857142857143,217
467,Kelly Olynyk,UTA,2022-2023,63,44.44444444444444,28.206349206349206,12.222222222222221,0.4333145751266179,3.984126984126984,8.063492063492063,49.40944881889764,1.3492063492063493,3.507936507936508,38.46153846153847,2.9047619047619047,3.380952380952381,85.91549295774648,1.2063492063492063,4.682539682539683,5.888888888888889,3.5714285714285716,2.3492063492063493,1.5202702702702702,0.9206349206349206,0.5396825396825397,0.577755905511811,0.6398324802233597,116.98343627175744,116.05946097697925,0.9239752947781881,3.4285714285714284,28
