,Name,Team,Location,Opponent,Date,Result,Mins,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
126,Jason Smith,WAS,A,MIA,2017-04-12,L,6,84.6,100.0,-15.4,0.0,0.0,0.0,0.0,50.0,30.0,33.3,33.3,38.7,46.2,98.23,-7.4
127,David Lee,SAS,A,UTA,2017-04-12,L,13,78.6,107.1,-28.6,0.0,0.0,0.0,7.1,22.2,13.0,40.0,33.3,33.3,15.6,107.23,1.0
128,Patrick Beverley,HOU,H,MIN,2017-04-12,W,31,142.2,118.2,24.0,23.3,7.0,38.9,13.9,17.9,15.6,5.6,44.4,48.4,14.3,101.3,9.1
129,Cristiano Felicio,CHI,H,BKN,2017-04-12,W,19,118.4,73.7,44.7,5.9,0.0,25.0,0.0,17.4,9.5,0.0,33.3,33.3,7.1,96.17,6.0
130,James Young,BOS,H,MIL,2017-04-12,W,3,75.0,57.1,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,25.0,110.2,-8.3
131,James Johnson,MIA,H,WAS,2017-04-12,W,37,117.3,109.3,8.0,25.0,4.0,38.1,2.9,18.4,11.1,9.5,45.5,50.5,15.3,98.09,10.4
132,Bruno Caboclo,TOR,A,CLE,2017-04-12,W,17,106.3,119.4,-13.1,10.0,0.0,8.3,10.5,11.1,10.8,0.0,50.0,50.0,29.7,87.31,13.1
133,DeMarre Carroll,TOR,A,CLE,2017-04-12,W,17,100.0,90.6,9.4,9.1,1.0,14.3,0.0,37.5,19.4,14.3,20.0,20.0,17.6,91.82,9.9
134,Rodney Hood,UTA,H,SAS,2017-04-12,W,23,113.0,120.4,-7.4,12.5,1.0,11.8,4.3,15.8,9.5,11.8,38.5,38.5,28.3,99.42,3.3
135,Dwyane Wade,CHI,H,BKN,2017-04-12,W,23,104.1,74.5,29.6,23.5,0.67,20.0,0.0,6.5,3.8,30.0,33.3,35.4,28.6,106.75,-1.2
136,Maurice Ndour,NYK,H,PHI,2017-04-12,W,25,108.0,141.2,-33.2,0.0,0.0,0.0,3.6,0.0,2.1,12.5,33.3,36.3,13.3,97.68,0.5
137,Danny Green,SAS,A,UTA,2017-04-12,L,20,97.2,113.5,-16.3,14.3,2.0,22.2,11.1,14.3,12.5,11.1,16.7,16.7,16.3,89.31,3.8
138,Dorian Finney-Smith,DAL,A,MEM,2017-04-12,W,31,100.0,100.0,0.0,31.3,5.0,33.3,0.0,11.4,6.6,6.7,38.9,38.9,14.9,91.77,10.2
139,Ish Smith,DET,A,ORL,2017-04-12,L,35,108.1,122.7,-14.6,45.5,10.0,30.3,1.9,9.7,4.7,3.0,42.5,46.0,25.0,102.91,11.3
140,Michael Carter-Williams,CHI,H,BKN,2017-04-12,W,6,130.8,53.8,76.9,14.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.58,7.5
141,Russell Westbrook,OKC,H,DEN,2017-04-12,L,18,90.7,100.0,-9.3,57.1,2.67,38.1,0.0,21.7,10.4,14.3,25.0,25.0,26.5,113.99,7.8
142,Fred VanVleet,TOR,A,CLE,2017-04-12,W,21,118.4,90.0,28.4,35.3,0.0,42.9,0.0,16.0,8.9,0.0,28.6,31.7,17.8,90.8,9.0
143,Jon Leuer,DET,A,ORL,2017-04-12,L,20,88.1,148.8,-60.7,8.3,0.0,14.3,3.1,25.0,10.4,0.0,0.0,17.0,11.5,100.35,2.6
144,Darrell Arthur,DEN,A,OKC,2017-04-12,W,23,102.0,111.8,-9.8,0.0,0.0,0.0,0.0,8.0,3.8,8.3,35.7,59.3,21.4,105.8,11.1
145,Malcolm Delaney,ATL,A,IND,2017-04-12,L,26,73.1,102.0,-28.9,50.0,1.67,29.4,0.0,7.7,3.6,17.6,35.7,54.3,21.1,93.73,11.0
