,Date,Home,Away,Favorite,Spread,O/U,Attendance,Capacity
207,11/30/2023,DET,NYK,NYK,-14.5,219.5,19812,[]
208,11/30/2023,MIL,CHI,MIL,-10.5,225.5,19838,[]
209,11/30/2023,UTA,MIN,MIN,-11.5,219.5,18024,[]
210,11/30/2023,LAL,OKC,OKC,-4.5,234.5,17401,[]
211,11/30/2023,ATL,SAS,ATL,-6.5,246.5,17646,[]
212,11/30/2023,LAC,GSW,GSW,-2.5,229.5,18064,[]
213,12/1/2023,WAS,ORL,ORL,-10.5,236.5,18846,[]
214,12/1/2023,PHI,BOS,BOS,-11.5,218.5,19156,[]
215,12/1/2023,NYK,TOR,TOR,-1.5,218.5,19800,[]
216,12/1/2023,MEM,DAL,DAL,-5.5,224.5,20150,[]
217,12/1/2023,SAS,NOP,NOP,-12.5,237.5,17028,[]
218,12/1/2023,DEN,PHX,PHX,-0.5,224.5,17071,[]
219,12/2/2023,GSW,LAC,LAC,-4.5,229.5,19370,[]
220,12/2/2023,MIN,CHA,MIN,-5.5,220.5,17731,[]
221,12/2/2023,ORL,BKN,BKN,-2.5,225.5,17966,[]
222,12/2/2023,CLE,DET,CLE,-9.5,225.5,18924,[]
223,12/2/2023,IND,MIA,MIA,-4.5,237.5,19650,[]
224,12/2/2023,NOP,CHI,CHI,-0.5,219.5,20511,[]
225,12/2/2023,ATL,MIL,MIL,-6.5,252.5,17866,[]
226,12/2/2023,OKC,DAL,OKC,-5.5,234.5,20277,[]
227,12/2/2023,MEM,PHX,PHX,-10.5,220.5,17071,[]
228,12/2/2023,POR,UTA,UTA,-1.5,217.5,18206,[]
229,12/2/2023,DEN,SAC,SAC,-3.5,234.5,17829,[]
230,12/2/2023,HOU,LAL,LAL,-4.5,226.5,18997,[]
231,12/11/2023,MIA,CHA,MIA,-4.5,222.5,15543,[]
232,12/11/2023,IND,DET,IND,-7.5,247.5,14988,[]
233,12/11/2023,CLE,ORL,ORL,-2.5,225.5,19032,[]
234,12/11/2023,WAS,PHI,PHI,-13.5,244.5,19762,[]
235,12/11/2023,DEN,ATL,DEN,-2.5,242.5,17531,[]
236,12/11/2023,TOR,NYK,NYK,-4.5,221.5,19812,[]
237,12/11/2023,SAS,HOU,HOU,-8.5,223.5,16481,[]
238,12/11/2023,DAL,MEM,MEM,-1.5,227.5,16379,[]
239,12/11/2023,CHI,MIL,MIL,-11.5,233.5,17440,[]
240,12/11/2023,MIN,NOP,NOP,-4.5,221.5,16487,[]
241,12/11/2023,UTA,OKC,OKC,-12.5,235.5,16631,[]
242,12/11/2023,BKN,SAC,SAC,-4.5,237.5,17794,[]
243,12/11/2023,POR,LAC,LAC,-14.5,220.5,17102,[]
244,12/12/2023,CLE,BOS,BOS,-11.5,226.5,19156,[]
245,12/12/2023,LAL,DAL,LAL,-2.5,236.5,20377,[]
246,12/12/2023,DEN,CHI,DEN,-6.5,219.5,20775,[]
247,12/12/2023,GSW,PHX,GSW,-1.5,229.5,17071,[]
248,12/12/2023,SAC,LAC,LAC,-3.5,237.5,17060,[]
249,12/13/2023,PHI,DET,PHI,-12.5,233.5,16749,[]
250,12/13/2023,NOP,WAS,NOP,-7.5,239.5,14080,[]
251,12/13/2023,CHA,MIA,MIA,-7.5,222.5,19600,[]
252,12/13/2023,ATL,TOR,TOR,-2.5,240.5,19423,[]
253,12/13/2023,MEM,HOU,HOU,-9.5,209.5,16813,[]
254,12/13/2023,IND,MIL,MIL,-6.5,258.5,17431,[]
255,12/13/2023,LAL,SAS,LAL,-3.5,230.5,18354,[]
256,12/13/2023,BKN,PHX,PHX,-4.5,230.5,17071,[]
257,12/13/2023,NYK,UTA,NYK,-5.5,228.5,18206,[]
258,12/14/2023,CLE,BOS,BOS,-9.5,227.5,19156,[]
259,12/14/2023,CHI,MIA,MIA,-3.5,213.5,19653,[]
260,12/14/2023,MIN,DAL,MIN,-1.5,231.5,20177,[]
261,12/14/2023,BKN,DEN,DEN,-9.5,230.5,19636,[]
262,12/14/2023,UTA,POR,POR,-4.5,226.5,17842,[]
263,12/14/2023,OKC,SAC,SAC,-2.5,244.5,17794,[]
264,12/14/2023,GSW,LAC,LAC,-2.5,231.5,19370,[]
265,12/15/2023,NOP,CHA,NOP,-9.5,217.5,16080,[]
266,12/15/2023,DET,PHI,PHI,-15.5,234.5,19761,[]
267,12/15/2023,IND,WAS,IND,-8.5,260.5,15208,[]
268,12/15/2023,ORL,BOS,BOS,-5.5,227.5,19156,[]
269,12/15/2023,ATL,TOR,TOR,-1.5,241.5,19800,[]
270,12/15/2023,LAL,SAS,LAL,-4.5,235.5,18354,[]
271,12/15/2023,HOU,MEM,HOU,-2.5,212.5,16941,[]
272,12/15/2023,NYK,PHX,PHX,-4.5,229.5,17071,[]
273,12/16/2023,DET,MIL,MIL,-16.5,241.5,17666,[]
274,12/16/2023,PHI,CHA,PHI,-11.5,229.5,17829,[]
275,12/16/2023,ATL,CLE,CLE,-4.5,236.5,19432,[]
276,12/16/2023,CHI,MIA,MIA,-4.5,219.5,19815,[]
277,12/16/2023,IND,MIN,MIN,-10.5,239.5,18024,[]
278,12/16/2023,BKN,GSW,GSW,-3.5,235.5,18064,[]
279,12/16/2023,OKC,DEN,DEN,-5.5,237.5,19611,[]
280,12/16/2023,DAL,POR,DAL,-4.5,232.5,18439,[]
281,12/16/2023,UTA,SAC,SAC,-8.5,235.5,17794,[]
282,12/16/2023,NYK,LAC,LAC,-6.5,229.5,19370,[]
283,12/17/2023,ORL,BOS,BOS,-8.5,226.5,19156,[]
