,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
104,Bradley Beal PHX,PHX,H,04/14/2024,W,38,132.0,109.6,22.4,20.8,5.00,17.9,10.0,12.0,10.9,3.6,81.0,82.3,26.7,94.43,24.5,
105,Mike Conley MIN,MIN,H,04/14/2024,L,27,109.6,131.5,-21.9,15.4,0.67,15.4,5.3,13.6,9.8,23.1,100,102.2,19.0,92.73,17.5,
106,Mason Plumlee LAC,LAC,H,04/14/2024,L,24,88.5,126.9,-38.5,26.7,1.33,18.2,12.5,29.0,20.6,13.6,23.1,30.5,29.5,104.44,8.5,
107,Josh Green DAL,DAL,H,04/14/2024,L,31,70.3,132.8,-62.5,20.0,3.00,23.1,2.1,6.9,3.9,7.7,12.5,22.5,13.7,100.48,1.2,
108,Donte DiVincenzo NYK,NYK,H,04/14/2024,W,53,115.4,113.6,1.8,5.6,0.50,7.4,4.3,9.3,6.9,14.8,59.5,59.5,20.5,94.62,8.8,
109,Ryan Rollins MIL,MIL,H,04/14/2024,L,7,100.0,107.1,-7.1,28.6,2.00,50.0,0.0,50.0,22.2,25.0,0.0,0.0,13.3,97.34,2.9,
110,Naz Reid MIN,MIN,H,04/14/2024,L,20,97.4,137.5,-40.1,11.1,0.25,7.7,0.0,26.7,13.8,30.8,62.5,62.5,29.3,93.71,4.7,
111,Mike Muscala OKC,OKC,H,04/14/2024,W,18,102.6,89.7,12.9,0.0,0.00,0.0,11.1,13.6,12.5,33.3,50.0,50.0,7.3,101.33,2.7,
112,JaVale McGee SAC,SAC,H,04/14/2024,W,8,111.8,111.1,0.7,50.0,1.00,16.7,37.5,36.4,36.8,16.7,57.1,57.1,50.0,106.78,30.6,
113,Jordan Walsh BOS,BOS,H,04/14/2024,W,17,121.1,94.7,26.3,5.9,1.00,20.0,0.0,13.0,7.1,20.0,0.0,17.4,9.3,106.42,2.4,
114,Evan Mobley CLE,CLE,H,04/14/2024,L,25,141.2,119.2,21.9,21.7,0.00,26.3,12.5,12.5,12.5,0.0,38.5,47.4,24.1,97.32,10.0,
115,Matt Ryan NOP,NOP,H,04/14/2024,L,2,83.3,0.0,83.3,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.74,0.0,
116,Brandon Boston Jr.,LAC,H,HOU,04/14/2024,L,31,97.2,104.2,-7.0,15.0,0.50,11.1,4.9,11.4,7.9,22.2,37.5,42.2,29.3,111.13,4.4
117,Terquavion Smith PHI,PHI,H,04/14/2024,W,6,73.3,106.7,-33.3,0.0,0.00,0.0,0.0,16.7,7.7,20.0,0.0,12.9,27.8,124.50,-15.1,
118,Obi Toppin IND,IND,H,04/14/2024,W,13,164.3,125.0,39.3,18.8,1.50,25.0,11.1,8.3,9.5,16.7,41.7,50.9,27.3,107.95,6.3,
119,GG Jackson II,MEM,H,DEN,04/14/2024,L,44,110.6,124.5,-13.8,3.8,0.33,2.3,11.5,14.3,12.8,7.0,52.8,56.3,37.5,102.27,15.5
120,Keon Johnson BKN,BKN,H,04/14/2024,L,10,80.0,91.7,-11.7,0.0,0.00,0.0,0.0,16.7,8.3,25.0,50.0,52.1,16.0,113.62,2.4,
121,Patty Mills MIA,MIA,H,04/14/2024,W,8,83.3,166.7,-83.3,14.3,0.00,25.0,0.0,16.7,6.3,0.0,0.0,0.0,15.0,108.68,-2.2,
122,Chris Paul GSW,GSW,H,04/14/2024,W,23,116.7,139.6,-22.9,31.6,6.00,35.3,0.0,16.7,8.9,5.9,30.0,30.0,22.0,101.57,4.1,
123,Mikal Bridges BKN,BKN,H,04/14/2024,L,25,76.0,106.0,-30.0,9.1,0.00,11.1,0.0,6.5,3.3,0.0,50.0,50.0,14.8,96.64,6.1,
124,Colin Castleton LAL,LAL,H,04/14/2024,W,2,0.0,100.0,-100.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,134.58,-400.0,
125,Justin Holiday DEN,DEN,H,04/14/2024,W,19,123.1,134.1,-11.1,16.7,3.00,33.3,0.0,5.3,2.7,11.1,30.0,30.0,13.6,100.09,2.0,
126,Dwight Powell DAL,DAL,H,04/14/2024,L,27,74.1,126.8,-52.7,7.1,1.00,25.0,9.8,16.0,12.1,25.0,50.0,50.0,4.7,97.84,5.4,
127,Jermaine Samuels Jr.,HOU,A,LAC,04/14/2024,W,5,115.4,123.1,-7.7,14.3,0.00,100.0,0.0,12.5,7.7,0.0,0.0,0.0,0.0,130.86,4.2
128,Coby White CHI,CHI,H,04/14/2024,L,43,118.6,117.4,1.2,12.5,2.00,16.0,0.0,5.9,2.7,8.0,66.7,68.9,21.2,95.44,12.7,
129,Kris Murray POR,POR,H,04/14/2024,L,44,86.7,120.0,-33.3,0.0,0.00,0.0,11.3,28.2,17.8,11.1,23.3,28.3,15.5,99.09,5.2,
130,Thanasis Antetokounmpo MIL,MIL,H,04/14/2024,L,7,100.0,107.1,-7.1,16.7,0.00,33.3,0.0,0.0,0.0,0.0,50.0,50.0,13.3,97.34,8.7,
131,Alex Len SAC,SAC,H,04/14/2024,W,13,81.5,70.4,11.1,16.7,0.00,25.0,5.6,6.7,6.1,0.0,0.0,36.2,9.4,99.69,0.0,
132,Devin Booker PHX,PHX,H,04/14/2024,W,36,132.9,105.8,27.1,25.0,7.00,25.0,5.9,8.0,6.8,3.6,46.9,56.4,25.3,93.66,13.3,
133,Kyle Anderson MIN,MIN,H,04/14/2024,L,18,100.0,135.3,-35.3,40.0,4.00,40.0,0.0,8.3,4.3,10.0,40.0,40.0,17.1,92.12,5.9,
134,Domantas Sabonis SAC,SAC,H,04/14/2024,W,27,140.4,76.8,63.6,40.9,2.25,36.0,9.5,21.4,17.5,16.0,70.0,76.5,25.4,99.95,24.2,
135,Kobe Bufkin ATL,ATL,H,04/14/2024,L,7,64.3,100.0,-35.7,0.0,0.00,0.0,0.0,16.7,7.1,0.0,33.3,33.3,17.6,102.35,4.3,
